subj,trg,trial,id,block,snr,cond,pa,pd,pa_pfe,pd_pfe,fd_int,fd,sgd_int,sgd_i,sgd
4,25,5,5,1,5,2,1434.459,5454.212,-78.52171,-137.2915,0.3228577,0.3355303,1.437887,1.438086,1.444239
4,23,6,6,1,3,2,1443.79,5446.403,-95.9584,-192.807,0.3753406,0.3789604,1.216459,1.214386,1.219086
4,25,7,7,1,5,2,1217.485,5032.698,-327.0159,-616.2496,0.344624,0.3590856,1.269041,1.262658,1.267299
4,22,8,8,1,2,2,1794.903,6099.185,230.5811,413.3958,0.3509322,0.356147,1.256937,1.252503,1.255867
4,21,9,9,1,1,2,1850.395,6205.163,277.4271,499.9704,0.2727636,0.2760565,1.382435,1.350944,1.395635
4,24,10,10,1,4,2,1706.539,5946,140.6379,255.37,0.3706887,0.380268,1.276256,1.269803,1.266309
4,23,11,11,1,3,2,1707.24,5952.803,133.4069,247.4614,0.3564323,0.3653861,1.189423,1.172346,1.175198
4,25,12,12,1,5,2,1639.455,5832.054,42.85347,84.37091,0.4138684,0.4195279,1.035627,1.016295,0.9951302
4,22,13,13,1,2,2,1646.079,5846.869,61.66571,121.2625,0.2955147,0.2998801,1.286049,1.264037,1.262288
4,23,14,14,1,3,2,1583.908,5738.283,13.44915,32.77684,0.2514886,0.2564077,1.325112,1.306168,1.320089
4,21,15,15,1,1,2,1839.385,6187.095,272.202,492.177,0.2544613,0.2577224,1.33398,1.333678,1.332255
4,24,16,16,1,4,2,1617.711,5793.284,40.6516,80.96593,0.2599757,0.2690051,1.294606,1.284915,1.27435
4,21,17,17,1,1,2,1550.869,5672.15,-25.56843,-37.33789,0.4615199,0.231478,1.077649,1.138861,1.185493
4,25,18,18,1,5,2,1602.639,5757.195,43.95578,81.45849,0.334837,0.2855476,1.233985,1.231047,1.240134
4,24,19,19,1,4,2,1364.765,5322.716,-212.5806,-388.4623,0.2803404,0.2916882,1.287896,1.270099,1.257215
4,23,20,20,1,3,2,1351.427,5279.527,-214.6743,-410.3828,0.2711023,0.2699222,1.0881,1.084198,1.042905
4,22,21,21,1,2,2,1734.663,6004.331,169.5349,315.9463,0.2699086,0.2795336,1.239347,1.225363,1.194313
4,25,22,22,1,5,2,1405.184,5383.761,-151.14,-287.4135,0.2994676,0.311443,1.123767,1.100417,1.057738
4,15,1,23,2,5,1,1714.89,5970.83,218.5499,423.9774,0.4927617,0.5192016,1.043464,1.042251,0.9789882
4,14,2,24,2,4,1,1505.129,5595.62,68.07022,165.4545,0.7021341,0.6612036,0.7723547,0.7623459,0.7662636
4,12,3,25,2,2,1,1256.189,5102.466,-181.4344,-330.1233,0.4598607,0.4577766,0.8488047,0.8477283,0.8345208
4,11,4,26,2,1,1,1317.256,5224.612,-133.3581,-231.2172,0.4816713,0.4806777,0.9620591,0.9596028,0.9515734
4,15,5,27,2,5,1,1253.606,5070.269,-177.5256,-350.1239,0.2401689,0.2321537,1.287239,1.282692,1.322673
4,13,6,28,2,3,1,1058.411,4680.496,-233.9516,-470.2441,0.2367937,0.2384915,1.275073,1.267271,1.266074
4,15,7,29,2,5,1,1479.637,5471.447,105.1562,162.4933,0.262195,0.2379857,1.293916,1.287163,1.333633
4,12,8,30,2,2,1,1414.066,5384.393,52.99002,99.94385,0.2624362,0.2624424,1.36364,1.363372,1.36084
4,11,9,31,2,1,1,1251.95,5043.024,-85.91589,-197.9546,0.2433157,0.2392605,1.301709,1.290624,1.275045
4,14,10,32,2,4,1,1318.325,5207.252,-47.73016,-90.28313,0.230221,0.2261756,1.368804,1.369287,1.370286
4,13,11,33,2,3,1,1244.024,5070.437,45.74017,97.15141,0.2594762,0.2610328,1.407273,1.406742,1.399384
4,15,12,34,2,5,1,1277.438,5135.76,-57.36745,-101.0341,0.2920264,0.2636063,1.353178,1.353633,1.376689
4,12,13,35,2,2,1,1371.512,5289.976,-11.27008,-40.99675,0.2142589,0.2063839,1.369886,1.370728,1.376776
4,13,14,36,2,3,1,1131.173,4842.266,-192.6084,-371.7638,0.1901999,0.1905571,1.380806,1.374927,1.366468
4,11,15,37,2,1,1,1350.479,5274.815,9.79502,26.92949,0.2750418,0.2637536,1.295466,1.292993,1.305078
4,14,16,38,2,4,1,1138.711,4856.674,-105.8038,-191.0504,0.2244309,0.2249909,1.306966,1.308425,1.307259
4,11,17,39,2,1,1,1402.167,5355.577,34.44123,61.05868,0.2605917,0.2595233,1.343368,1.346651,1.364941
4,15,18,40,2,5,1,1393.1,5360.911,105.7477,221.8568,0.2506624,0.2397061,1.375563,1.377204,1.408293
4,14,19,41,2,4,1,1460.288,5477.155,89.97108,177.5875,0.2484496,0.2463376,1.347435,1.337363,1.342546
4,13,20,42,2,3,1,1383.924,5303.275,45.13231,62.31478,0.2441396,0.2323482,1.382643,1.368017,1.377695
